"","zip","modzcta_name","percentpositivity_7day","people_tested","people_positive","median_daily_test_rate","adequately_tested","daterange","latitude","longitude"
"85",11103,"Astoria (North)/Astoria (South)",5.79,1503,87,832.9,"Yes","February 7-February 13",40.76,-73.91
"86",11104,"Sunnyside",5,1099,55,805.9,"Yes","February 7-February 13",40.74,-73.92
"87",11105,"Ditmars Steinway",4.39,1207,53,677,"Yes","February 7-February 13",40.78,-73.91
"88",11106,"Astoria (South)",5.91,1438,85,729.4,"Yes","February 7-February 13",40.76,-73.93
"89",11109,"Long Island City",3.99,351,14,1127.9,"Yes","February 7-February 13",40.75,-73.96
"90",11201,"Brooklyn Heights/DUMBO/Downtown Brooklyn",1.75,3487,61,953.5,"Yes","February 7-February 13",40.69,-73.99
"91",11203,"East Flatbush (North)/East Flatbush (South)",5.9,2560,151,620.6,"Yes","February 7-February 13",40.64,-73.94
"92",11204,"Bensonhurst/Mapleton",11.03,1740,192,384,"Yes","February 7-February 13",40.62,-73.98
"93",11205,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",4.95,1921,95,758.8,"Yes","February 7-February 13",40.69,-73.97
"94",11206,"Williamsburg (South)",7.58,3245,246,704.6,"Yes","February 7-February 13",40.7,-73.94
"95",11207,"Cypress Hills/East New York",6.93,3219,223,650.3,"Yes","February 7-February 13",40.67,-73.89
"96",11208,"Cypress Hills/East New York",9.77,3182,311,588.1,"Yes","February 7-February 13",40.67,-73.87
"97",11209,"Bay Ridge/Fort Hamilton",5.65,2409,136,588,"Yes","February 7-February 13",40.62,-74.03
"98",11210,"Flatlands/Midwood",5.45,1616,88,447.6,"Yes","February 7-February 13",40.63,-73.95
"99",11211,"East Williamsburg/Williamsburg (North)/Williamsburg (South)",4.27,4078,174,795.7,"Yes","February 7-February 13",40.71,-73.95
"100",11212,"Ocean Hill-Brownsville",7.46,3030,226,780.1,"Yes","February 7-February 13",40.66,-73.91
"101",11213,"Crown Heights (East)",7.41,2280,169,650.1,"Yes","February 7-February 13",40.67,-73.94
"102",11214,"Bath Beach/Bensonhurst/Gravesend",9.94,2283,227,397.6,"Yes","February 7-February 13",40.6,-74
"103",11215,"Gowanus/Park Slope/Windsor Terrace",2.36,3307,78,837.4,"Yes","February 7-February 13",40.66,-73.99
"104",11216,"Bedford-Stuyvesant (West)/Crown Heights (West)",3.99,2307,92,835.4,"Yes","February 7-February 13",40.68,-73.95
"105",11217,"Boerum Hill/Park Slope",3.11,2124,66,937.1,"Yes","February 7-February 13",40.68,-73.98
"106",11218,"Kensington/Windsor Terrace",6.47,2459,159,555.4,"Yes","February 7-February 13",40.64,-73.98
"107",11219,"Borough Park",7.21,1790,129,259.8,"No","February 7-February 13",40.63,-74
"108",11220,"Sunset Park",7.25,2233,162,407,"Yes","February 7-February 13",40.64,-74.02
"109",11221,"Bedford-Stuyvesant (East)/Bushwick",6.26,3496,219,812.9,"Yes","February 7-February 13",40.69,-73.93
"110",11222,"Greenpoint",3.17,1768,56,880.3,"Yes","February 7-February 13",40.73,-73.95
"111",11223,"Gravesend/Homecrest",9.93,2176,216,403.7,"Yes","February 7-February 13",40.6,-73.97
"112",11224,"Brighton Beach/Coney Island/Seagate",11.79,1578,186,620.3,"Yes","February 7-February 13",40.58,-73.99
"113",11225,"Crown Heights (West)/Prospect Lefferts Gardens",5.69,2125,121,615.5,"Yes","February 7-February 13",40.66,-73.95
"114",11226,"Flatbush/Prospect Lefferts Gardens",6.22,3600,224,653.3,"Yes","February 7-February 13",40.65,-73.96
"115",11228,"Bath Beach/Dyker Heights",7.42,1361,101,464.6,"Yes","February 7-February 13",40.62,-74.01
"116",11229,"Gerritsen Beach/Homecrest/Sheepshead Bay",11.62,2366,275,464.5,"Yes","February 7-February 13",40.6,-73.94
"117",11230,"Midwood",13.24,2561,339,461.2,"Yes","February 7-February 13",40.62,-73.97
"118",11231,"Carroll Gardens/Cobble Hill/Red Hook",3.11,1895,59,882.9,"Yes","February 7-February 13",40.68,-74.01
"119",11232,"Sunset Park",5.72,769,44,502.1,"Yes","February 7-February 13",40.66,-74.01
"120",11233,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",6.02,2593,156,719.8,"Yes","February 7-February 13",40.68,-73.92
"121",11234,"Bergen Beach/Flatlands/Marine Park/Mill Basin",6.05,2661,161,527.3,"Yes","February 7-February 13",40.61,-73.91
"122",11235,"Brighton Beach/Manhattan Beach/Sheepshead Bay",13.88,2414,335,543.5,"Yes","February 7-February 13",40.58,-73.95
"123",11236,"Canarsie",5.15,3027,156,596.2,"Yes","February 7-February 13",40.64,-73.9
"124",11237,"Bushwick/East Williamsburg",6.33,1818,115,745.8,"Yes","February 7-February 13",40.7,-73.92
"125",11238,"Clinton Hill/Prospect Heights",3.94,2816,111,1010.3,"Yes","February 7-February 13",40.68,-73.96
"126",11239,"East New York",4.09,538,22,706.5,"Yes","February 7-February 13",40.65,-73.88
"127",11354,"Flushing/Murray Hill",8.76,1335,117,376.5,"Yes","February 7-February 13",40.77,-73.84
"128",11355,"Flushing/Murray Hill/Queensboro Hill",13.37,2035,272,312,"Yes","February 7-February 13",40.75,-73.82
"129",11356,"College Point",10.21,725,74,569.8,"Yes","February 7-February 13",40.78,-73.84
"130",11357,"Whitestone",6.28,1432,90,614.8,"Yes","February 7-February 13",40.79,-73.81
"131",11358,"Auburndale/Murray Hill",6.76,1109,75,505.2,"Yes","February 7-February 13",40.76,-73.8
"132",11360,"Bayside (North)",6.48,633,41,467.3,"Yes","February 7-February 13",40.78,-73.78
"133",11361,"Bayside (North)/Bayside (South)",7.1,775,55,530.9,"Yes","February 7-February 13",40.76,-73.77
"134",11362,"Douglaston-Little Neck",4.72,445,21,397.8,"Yes","February 7-February 13",40.76,-73.74
"135",11363,"Douglaston-Little Neck",5.51,254,14,519.6,"Yes","February 7-February 13",40.77,-73.75
"136",11364,"Bayside (South)/Oakland Gardens",4.8,958,46,414.7,"Yes","February 7-February 13",40.75,-73.76
"137",11365,"Auburndale/Fresh Meadows/Pomonok/Utopia",6.47,1191,77,451.9,"Yes","February 7-February 13",40.74,-73.79
"138",11366,"Fresh Meadows/Hillcrest",6.28,382,24,478.6,"Yes","February 7-February 13",40.73,-73.79
"139",11367,"Kew Gardens Hills/Pomonok",7.82,1292,101,580.2,"Yes","February 7-February 13",40.73,-73.83
"140",11368,"Corona/North Corona",7.89,3157,249,517.4,"Yes","February 7-February 13",40.74,-73.85
"141",11369,"Airport/East Elmhurst",7.44,1385,103,749.4,"Yes","February 7-February 13",40.76,-73.88
"142",11370,"Jackson Heights/Rikers Island",7.63,931,71,487.8,"Yes","February 7-February 13",40.77,-73.89
"143",11372,"Jackson Heights",5.85,2274,133,662.5,"Yes","February 7-February 13",40.75,-73.88
"144",11373,"Elmhurst",8.22,2835,233,533.5,"Yes","February 7-February 13",40.74,-73.88
"145",11374,"Rego Park",8.47,1417,120,543.6,"Yes","February 7-February 13",40.72,-73.86
"146",11375,"Forest Hills",7.42,2332,173,573.9,"Yes","February 7-February 13",40.72,-73.84
"147",11377,"Woodside",7.61,3233,246,621.1,"Yes","February 7-February 13",40.74,-73.9
"148",11378,"Maspeth",5.31,1093,58,473.1,"Yes","February 7-February 13",40.72,-73.9
"149",11379,"Middle Village",7.11,1140,81,526.8,"Yes","February 7-February 13",40.71,-73.88
"150",11385,"Glendale/Ridgewood",8.27,3714,307,660.1,"Yes","February 7-February 13",40.7,-73.89
"151",11411,"Cambria Heights",5.68,599,34,477.1,"Yes","February 7-February 13",40.69,-73.73
"152",11412,"St. Albans",6.51,1383,90,637.8,"Yes","February 7-February 13",40.69,-73.75
"153",11413,"Laurelton/Rosedale",6.24,1362,85,599.4,"Yes","February 7-February 13",40.66,-73.75
"154",11414,"Hamilton Beach/Howard Beach/Lindenwood",8.43,795,67,490.2,"Yes","February 7-February 13",40.66,-73.84
"155",11415,"Kew Gardens",7.19,626,45,561.6,"Yes","February 7-February 13",40.71,-73.83
"156",11416,"Ozone Park",9.86,771,76,450.9,"Yes","February 7-February 13",40.68,-73.85
"157",11417,"Ozone Park",11.63,972,113,525.1,"Yes","February 7-February 13",40.68,-73.84
"158",11418,"Richmond Hill",7.73,1152,89,529.5,"Yes","February 7-February 13",40.7,-73.84
"159",11419,"Richmond Hill/South Ozone Park",11.1,1451,161,488.6,"Yes","February 7-February 13",40.69,-73.82
"160",11420,"South Ozone Park",10.25,1464,150,491.3,"Yes","February 7-February 13",40.67,-73.81
"161",11421,"Woodhaven",12.09,1249,151,549.3,"Yes","February 7-February 13",40.69,-73.85
"162",11422,"Rosedale",5.69,1019,58,595.9,"Yes","February 7-February 13",40.66,-73.73
"163",11423,"Hollis/Holliswood",6.89,973,67,549.2,"Yes","February 7-February 13",40.71,-73.76
"164",11426,"Bellerose",5.29,548,29,491,"Yes","February 7-February 13",40.74,-73.72
"165",11427,"Bellerose/Hollis Hills/Holliswood",10.46,736,77,551.5,"Yes","February 7-February 13",40.73,-73.75
"166",11428,"Queens Village",6.92,578,40,575.9,"Yes","February 7-February 13",40.72,-73.74
"167",11429,"Queens Village",6.13,962,59,578.9,"Yes","February 7-February 13",40.71,-73.74
"168",11432,"Hillcrest/Jamaica Estates/Jamaica Hills",9.55,1707,163,483.9,"Yes","February 7-February 13",40.72,-73.79
"169",11433,"Jamaica",7.09,1199,85,479.2,"Yes","February 7-February 13",40.7,-73.79
"170",11434,"Airport/South Jamaica/Springfield Gardens/St. Albans",6.58,2203,145,542.2,"Yes","February 7-February 13",40.68,-73.78
"171",11435,"Briarwood/Jamaica",10.74,1611,173,443.4,"Yes","February 7-February 13",40.7,-73.81
"172",11436,"South Jamaica/South Ozone Park",8.41,618,52,474,"Yes","February 7-February 13",40.68,-73.8
"173",11691,"Edgemere/Far Rockaway",8.96,2008,180,502.6,"Yes","February 7-February 13",40.6,-73.76
"174",11692,"Arverne/Edgemere",5.84,634,37,485,"Yes","February 7-February 13",40.59,-73.79
"175",11693,"Arverne/Broad Channel",7.99,413,33,639.2,"Yes","February 7-February 13",40.59,-73.81
"176",11694,"Belle Harbor-Neponsit/Rockaway Park",6.98,774,54,673.7,"Yes","February 7-February 13",40.58,-73.84
"177",11697,"Breezy Point",2.84,176,5,854.8,"Yes","February 7-February 13",40.56,-73.91
