"","zip","modzcta_name","percentpositivity_7day","people_tested","people_positive","median_daily_test_rate","adequately_tested","daterange","latitude","longitude"
"1",10001,"Chelsea/NoMad/West Chelsea",3.23,1518,49,1057.5,"Yes","February 7-February 13",40.75,-74
"2",10002,"Chinatown/Lower East Side",5.88,3045,179,616,"Yes","February 7-February 13",40.71,-73.99
"3",10003,"East Village/Gramercy/Greenwich Village",1.49,5370,80,1432.1,"Yes","February 7-February 13",40.73,-73.99
"4",10004,"Financial District",3.3,212,7,1144,"Yes","February 7-February 13",40.69,-74.02
"5",10005,"Financial District",2.82,390,11,833.6,"Yes","February 7-February 13",40.71,-74.01
"6",10006,"Financial District",0,152,0,621,"Yes","February 7-February 13",40.71,-74.01
"7",10007,"TriBeCa",2.21,408,9,1130,"Yes","February 7-February 13",40.71,-74.01
"8",10009,"Alphabet City/East Village/Stuyvesant Town-Cooper Village",4.09,3084,126,981.6,"Yes","February 7-February 13",40.73,-73.98
"9",10010,"Flatiron/Gramercy/Kips Bay",1.51,2448,37,1262.3,"Yes","February 7-February 13",40.74,-73.98
"10",10011,"Chelsea",2.63,3152,83,1127.7,"Yes","February 7-February 13",40.74,-74
"11",10012,"Greenwich Village/SoHo",1.71,1935,33,1429.7,"Yes","February 7-February 13",40.73,-74
"12",10013,"Hudson Square/Little Italy/SoHo/TriBeCa",2.75,1815,50,982,"Yes","February 7-February 13",40.72,-74
"13",10014,"Hudson Square/Meatpacking District/West Village",2.26,1944,44,1180.1,"Yes","February 7-February 13",40.73,-74.01
"14",10016,"Kips Bay/Murray Hill/NoMad",3.12,2918,91,1076.4,"Yes","February 7-February 13",40.75,-73.98
"15",10017,"East Midtown/Murray Hill",2.9,723,21,922.3,"Yes","February 7-February 13",40.75,-73.97
"16",10018,"Hell's Kitchen/Midtown Manhattan",1.99,502,10,737.9,"Yes","February 7-February 13",40.76,-73.99
"17",10019,"Hell's Kitchen/Midtown Manhattan",3.4,2119,72,859.3,"Yes","February 7-February 13",40.77,-73.99
"18",10021,"Lenox Hill/Upper East Side",2.29,2231,51,845.8,"Yes","February 7-February 13",40.77,-73.96
"19",10022,"East Midtown",1.54,3120,48,1239.6,"Yes","February 7-February 13",40.76,-73.97
"20",10023,"Lincoln Square",2.55,3172,81,867.6,"Yes","February 7-February 13",40.78,-73.98
"21",10024,"Upper West Side",2.59,2780,72,931.3,"Yes","February 7-February 13",40.8,-73.97
"22",10025,"Manhattan Valley/Morningside Heights/Upper West Side",2.13,5683,121,1257.4,"Yes","February 7-February 13",40.8,-73.97
"23",10026,"Central Harlem (South)",4.58,1572,72,739.7,"Yes","February 7-February 13",40.8,-73.95
"24",10027,"Central Harlem (South)/Morningside Heights/West Harlem",3.34,3894,130,1358.2,"Yes","February 7-February 13",40.81,-73.95
"25",10028,"Upper East Side/Yorkville",2.49,2165,54,806.4,"Yes","February 7-February 13",40.78,-73.95
"26",10029,"East Harlem",6.85,3065,210,646.9,"Yes","February 7-February 13",40.79,-73.94
"27",10030,"Central Harlem (North)",5.08,1083,55,659.4,"Yes","February 7-February 13",40.82,-73.94
"28",10031,"Hamilton Heights/West Harlem",6.37,2042,130,659.1,"Yes","February 7-February 13",40.83,-73.95
"29",10032,"Washington Heights (South)",5.35,2374,127,658.2,"Yes","February 7-February 13",40.84,-73.94
"30",10033,"Washington Heights (North)/Washington Heights (South)",6.65,1834,122,587.9,"Yes","February 7-February 13",40.85,-73.93
"31",10034,"Inwood/Washington Heights (North)",7.02,1424,100,554,"Yes","February 7-February 13",40.87,-73.92
"32",10035,"East Harlem",7,1443,101,709.4,"Yes","February 7-February 13",40.8,-73.93
"33",10036,"Hell's Kitchen/Midtown Manhattan",2.62,1337,35,932.4,"Yes","February 7-February 13",40.76,-73.99
"34",10037,"Central Harlem (North)/East Harlem",5.71,805,46,596.3,"Yes","February 7-February 13",40.81,-73.94
"35",10038,"Chinatown/Financial District",2.74,1498,41,704.1,"Yes","February 7-February 13",40.71,-74
"36",10039,"Central Harlem (North)/Washington Heights (South)",7.63,944,72,640.2,"Yes","February 7-February 13",40.83,-73.94
"37",10040,"Washington Heights (North)",9.86,1480,146,620.9,"Yes","February 7-February 13",40.86,-73.93
"38",10044,"Roosevelt Island",2.22,316,7,462.7,"Yes","February 7-February 13",40.76,-73.95
"39",10065,"Lenox Hill/Upper East Side",1.54,1748,27,1132.7,"Yes","February 7-February 13",40.76,-73.96
"40",10069,"Lincoln Square",2.5,360,9,907,"Yes","February 7-February 13",40.78,-73.99
"41",10075,"Lenox Hill/Upper East Side",2.34,1284,30,1032.8,"Yes","February 7-February 13",40.77,-73.95
"42",10128,"Upper East Side/Yorkville",3.82,2724,104,821.4,"Yes","February 7-February 13",40.78,-73.95
"43",10280,"Battery Park City",3.48,345,12,663.4,"Yes","February 7-February 13",40.71,-74.02
"44",10282,"Battery Park City",1.88,266,5,646.1,"Yes","February 7-February 13",40.72,-74.02
"45",10301,"Silver Lake/St. George",6.95,1481,103,701.7,"Yes","February 7-February 13",40.63,-74.09
"46",10302,"Elm Park",8.37,681,57,670.8,"Yes","February 7-February 13",40.63,-74.14
"47",10303,"Graniteville/Mariner's Harbor/Port Ivory",7.57,1096,83,724.2,"Yes","February 7-February 13",40.63,-74.17
"48",10304,"New Dorp/Todt Hill",7.35,1714,126,706.7,"Yes","February 7-February 13",40.61,-74.09
"49",10305,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",8.41,1558,131,630,"Yes","February 7-February 13",40.6,-74.07
"50",10306,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",7.64,2030,155,674.2,"Yes","February 7-February 13",40.58,-74.14
"51",10307,"Tottenville",9,578,52,623.7,"Yes","February 7-February 13",40.51,-74.24
"52",10308,"Great Kills",8.92,1121,100,650.6,"Yes","February 7-February 13",40.55,-74.15
"53",10309,"Charleston/Prince's Bay/Woodrow",7.92,1338,106,661.8,"Yes","February 7-February 13",40.53,-74.22
"54",10310,"Port Richmond/Randall Manor/West Brighton",6.13,914,56,699.6,"Yes","February 7-February 13",40.63,-74.12
"55",10312,"Annadale/Rossville",6.92,2355,163,710.9,"Yes","February 7-February 13",40.55,-74.18
"56",10314,"Bloomfield/Freshkills Park",7.21,3133,226,575,"Yes","February 7-February 13",40.6,-74.17
"57",10451,"Concourse/Melrose",9.55,1769,169,662.9,"Yes","February 7-February 13",40.82,-73.93
"58",10452,"Concourse/Highbridge",10.44,2576,269,595.6,"Yes","February 7-February 13",40.84,-73.92
"59",10453,"Morris Heights/Mount Hope/University Heights",11.99,2285,274,434.7,"Yes","February 7-February 13",40.85,-73.91
"60",10454,"Mott Haven/Port Morris",9.13,1282,117,504.9,"Yes","February 7-February 13",40.81,-73.92
"61",10455,"Mott Haven",7.09,1510,107,599.1,"Yes","February 7-February 13",40.81,-73.91
"62",10456,"Claremont/Morrisania",9.48,2753,261,489.3,"Yes","February 7-February 13",40.83,-73.91
"63",10457,"Belmont/Claremont/Mount Hope/Tremont",10.65,2301,245,554.8,"Yes","February 7-February 13",40.85,-73.9
"64",10458,"Belmont/Fordham University/Kingsbridge",9.91,2987,296,659.9,"Yes","February 7-February 13",40.86,-73.89
"65",10459,"Charlotte Gardens/Hunts Point",11.58,1615,187,566.1,"Yes","February 7-February 13",40.83,-73.89
"66",10460,"Charlotte Gardens/Tremont/Van Nest/West Farms",9.94,1881,187,546.9,"Yes","February 7-February 13",40.84,-73.87
"67",10461,"Morris Park/Pelham Bay/Westchester Square",10.28,1780,183,700.6,"Yes","February 7-February 13",40.85,-73.84
"68",10462,"Parkchester/Pelham Parkway/Van Nest/Westchester Square",8.79,2662,234,588.2,"Yes","February 7-February 13",40.84,-73.86
"69",10463,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",8.64,2302,199,620.1,"Yes","February 7-February 13",40.88,-73.91
"70",10464,"City Island",4.05,148,6,583.4,"Yes","February 7-February 13",40.87,-73.8
"71",10465,"Country Club/Throgs Neck",8.08,1473,119,563.5,"Yes","February 7-February 13",40.82,-73.83
"72",10466,"Edenwald/Wakefield",7.83,2427,190,544.1,"Yes","February 7-February 13",40.89,-73.85
"73",10467,"Allerton/Norwood/Pelham Parkway/Williamsbridge",8.95,3373,302,517.3,"Yes","February 7-February 13",40.87,-73.87
"74",10468,"Fordham/Kingsbridge/University Heights",12.51,2422,303,466.5,"Yes","February 7-February 13",40.87,-73.9
"75",10469,"Allerton/Baychester/Pelham Gardens/Williamsbridge",6.72,2351,158,590.8,"Yes","February 7-February 13",40.87,-73.85
"76",10470,"Wakefield/Woodlawn",6.68,524,35,433.6,"Yes","February 7-February 13",40.89,-73.87
"77",10471,"Fieldston/North Riverdale/Riverdale",4.56,987,45,663.8,"Yes","February 7-February 13",40.9,-73.9
"78",10472,"Soundview",11.49,1967,226,532.5,"Yes","February 7-February 13",40.83,-73.87
"79",10473,"Castle Hill/Clason Point/Soundview",7.95,2088,166,554.9,"Yes","February 7-February 13",40.82,-73.86
"80",10474,"Hunts Point",10.37,376,39,476,"Yes","February 7-February 13",40.81,-73.88
"81",10475,"Co-op City/Edenwald",5.09,1553,79,627.1,"Yes","February 7-February 13",40.88,-73.82
"82",11004,"Bellerose/Douglaston-Little Neck",5.41,444,24,406.3,"Yes","February 7-February 13",40.74,-73.71
"83",11101,"Astoria (South)/Long Island City/Sunnyside",4.06,1822,74,982.7,"Yes","February 7-February 13",40.74,-73.93
"84",11102,"Astoria (North)",6.52,1335,87,765.5,"Yes","February 7-February 13",40.77,-73.93
