zip,latitude,longitude
10601,41.03,-73.77
10602,41.02,-73.75
10603,41.05,-73.78
10604,41.05,-73.74
10605,41.02,-73.75
10606,41.02,-73.78
10607,41.04,-73.81
10610,41.02,-73.75
10701,40.94,-73.86
10702,40.94,-73.86
10703,40.96,-73.88
10704,40.92,-73.86
10705,40.92,-73.89
10706,40.98,-73.87
10707,40.96,-73.82
10708,40.94,-73.83
10709,40.95,-73.8
10710,40.97,-73.85
10801,40.92,-73.77
10802,40.92,-73.77
10803,40.9,-73.81
10804,40.94,-73.78
10805,40.9,-73.78
10901,41.11,-74.14
10910,41.28,-74.14
10911,41.32,-74.01
10912,41.25,-74.34
10913,41.07,-73.95
10914,41.42,-74.2
10915,41.55,-74.36
10916,41.44,-74.25
10917,41.32,-74.12
10918,41.35,-74.27
10919,41.52,-74.38
10920,41.14,-73.94
10921,41.33,-74.35
10922,41.33,-74
10923,41.2,-74
10924,41.4,-74.32
10925,41.22,-74.28
10926,41.3,-74.14
10927,41.18,-73.95
10928,41.35,-74
10930,41.35,-74.12
10931,41.12,-74.17
10932,41.48,-74.46
10933,41.37,-74.51
10940,41.44,-74.42
10941,41.49,-74.34
10943,41.44,-74.42
10949,41.33,-74.19
10950,41.32,-74.18
10952,41.11,-74.08
10953,41.4,-74.08
10954,41.09,-74.01
10956,41.15,-73.99
10958,41.34,-74.45
10959,41.26,-74.36
10960,41.09,-73.92
10962,41.05,-73.94
10963,41.47,-74.53
10964,41.02,-73.91
10965,41.06,-74
10968,41.04,-73.92
10969,41.29,-74.49
10970,41.18,-74.05
10973,41.37,-74.49
10974,41.16,-74.19
10975,41.25,-74.17
10976,41.02,-73.93
10977,41.12,-74.05
10979,41.18,-74.31
10980,41.22,-73.99
10981,41.32,-74.27
10982,41.11,-74.1
10983,41.02,-73.95
10984,41.2,-74.01
10985,41.58,-74.37
10986,41.27,-73.98
10987,41.2,-74.2
10988,41.3,-74.56
10989,41.11,-73.94
10990,41.25,-74.35
10992,41.42,-74.15
10993,41.21,-73.97
10994,41.09,-73.96
10996,41.39,-73.97
10997,41.36,-74.02
10998,41.32,-74.54
11001,40.72,-73.7
11002,40.72,-73.7
11003,40.7,-73.7
11004,40.74,-73.71
11005,40.76,-73.71
11010,40.7,-73.67
11020,40.77,-73.71
11021,40.78,-73.73
11022,40.8,-73.73
11023,40.8,-73.73
11024,40.82,-73.74
11025,40.8,-73.72
11026,40.8,-73.73
11027,40.8,-73.73
11030,40.79,-73.69
11040,40.73,-73.68
11041,40.73,-73.68
11042,40.76,-73.7
11043,40.73,-73.68
11044,40.73,-73.68
11050,40.82,-73.68
11051,40.82,-73.68
11052,40.82,-73.68
11053,40.82,-73.68
11054,40.82,-73.68
11055,40.82,-73.68
11096,40.62,-73.75
11099,40.73,-73.68
11101,40.74,-73.93
11102,40.77,-73.93
11103,40.76,-73.91
11104,40.74,-73.92
11105,40.78,-73.91
11106,40.76,-73.93
11109,40.75,-73.96
11120,40.74,-73.93
11201,40.69,-73.99
11202,40.64,-73.94
11203,40.64,-73.94
11204,40.62,-73.98
11205,40.69,-73.97
11206,40.7,-73.94
11207,40.67,-73.89
11208,40.67,-73.87
11209,40.62,-74.03
11210,40.63,-73.95
11211,40.71,-73.95
11212,40.66,-73.91
11213,40.67,-73.94
11214,40.6,-74
11215,40.66,-73.99
11216,40.68,-73.95
11217,40.68,-73.98
11218,40.64,-73.98
11219,40.63,-74
11220,40.64,-74.02
11221,40.69,-73.93
11222,40.73,-73.95
11223,40.6,-73.97
11224,40.58,-73.99
11225,40.66,-73.95
11226,40.65,-73.96
11228,40.62,-74.01
11229,40.6,-73.94
11230,40.62,-73.97
11231,40.68,-74.01
11232,40.66,-74.01
11233,40.68,-73.92
11234,40.61,-73.91
11235,40.58,-73.95
11236,40.64,-73.9
11237,40.7,-73.92
11238,40.68,-73.96
11239,40.65,-73.88
11240,40.69,-73.98
11241,40.64,-73.94
11242,40.64,-73.94
11243,40.64,-73.94
11244,40.68,-73.99
11245,40.64,-73.94
11247,40.64,-73.94
11248,40.69,-73.99
11249,40.64,-73.94
11251,40.64,-73.94
11252,40.64,-73.94
11254,40.69,-73.99
11255,40.69,-73.98
11256,40.64,-73.94
11351,40.78,-73.83
11352,40.77,-73.84
11354,40.77,-73.84
11355,40.75,-73.82
11356,40.78,-73.84
11357,40.79,-73.81
11358,40.76,-73.8
11359,40.79,-73.78
11360,40.78,-73.78
11361,40.76,-73.77
11362,40.76,-73.74
11363,40.77,-73.75
11364,40.75,-73.76
11365,40.74,-73.79
11366,40.73,-73.79
11367,40.73,-73.83
11368,40.74,-73.85
11369,40.76,-73.88
11370,40.77,-73.89
11371,40.77,-73.87
11372,40.75,-73.88
11373,40.74,-73.88
11374,40.72,-73.86
11375,40.72,-73.84
11377,40.74,-73.9
11378,40.72,-73.9
11379,40.71,-73.88
11380,40.72,-73.87
11381,40.77,-73.84
11385,40.7,-73.89
11386,40.7,-73.89
11390,40.77,-73.84
11405,40.68,-73.78
11411,40.69,-73.73
11412,40.69,-73.75
11413,40.66,-73.75
11414,40.66,-73.84
11415,40.71,-73.83
11416,40.68,-73.85
11417,40.68,-73.84
11418,40.7,-73.84
11419,40.69,-73.82
11420,40.67,-73.81
11421,40.69,-73.85
11422,40.66,-73.73
11423,40.71,-73.76
11424,40.71,-73.83
11425,40.61,-74.02
11426,40.74,-73.72
11427,40.73,-73.75
11428,40.72,-73.74
11429,40.71,-73.74
11430,40.65,-73.79
11431,40.68,-73.78
11432,40.72,-73.79
11433,40.7,-73.79
11434,40.68,-73.78
11435,40.7,-73.81
11436,40.68,-73.8
11439,40.68,-73.78
11451,40.7,-73.8
11499,40.68,-73.78
11501,40.75,-73.64
11507,40.77,-73.64
11509,40.59,-73.73
11510,40.66,-73.61
11514,40.75,-73.61
11516,40.63,-73.73
11518,40.64,-73.66
11520,40.65,-73.58
11530,40.72,-73.64
11531,40.72,-73.64
11535,40.72,-73.64
11536,40.67,-73.7
11542,40.86,-73.63
11545,40.84,-73.61
11547,40.83,-73.64
11548,40.81,-73.63
11549,40.72,-73.6
11550,40.7,-73.61
11551,40.7,-73.61
11552,40.69,-73.65
11553,40.7,-73.59
11554,40.71,-73.55
11555,40.7,-73.59
11556,40.72,-73.58
11557,40.64,-73.69
11558,40.6,-73.64
11559,40.6,-73.71
11560,40.88,-73.58
11561,40.59,-73.65
11563,40.65,-73.67
11565,40.67,-73.67
11566,40.65,-73.55
11568,40.78,-73.59
11569,40.59,-73.58
11570,40.66,-73.63
11571,40.66,-73.63
11572,40.63,-73.63
11575,40.68,-73.58
11576,40.8,-73.65
11577,40.78,-73.64
11579,40.84,-73.64
11580,40.66,-73.7
11581,40.65,-73.72
11582,40.66,-73.7
11590,40.75,-73.58
11592,40.75,-73.57
11594,40.75,-73.58
11595,40.75,-73.58
11596,40.76,-73.64
11597,40.75,-73.58
11598,40.63,-73.72
11599,40.72,-73.64
11690,40.59,-73.81
11691,40.6,-73.76
11692,40.59,-73.79
11693,40.59,-73.81
11694,40.58,-73.84
11695,40.59,-73.81
11697,40.56,-73.91
